feature,feature_chinese_names,NC-mean,NC-std,NC-range,AD-mean,AD-std,AD-range
PhG_R_6_5,右侧旁海马_6_5,684.7858,103.7325,581.0533-788.5183,534.7379,124.4706,410.2673-659.2084
PhG_L_6_6,左侧旁海马_6_6,498.8977,65.78402,433.1136-564.6817,459.7674,74.24667,385.5207-534.014
PhG_R_6_6,右侧旁海马_6_6,582.1322,73.32452,508.8077-655.4567,530.4385,87.17063,443.2679-617.6092
pSTS_L_2_1,左侧后颞上沟_2_1,1017.477,182.6483,834.829-1200.1256,857.3729,177.4519,679.921-1034.8248
pSTS_R_2_1,右侧后颞上沟_2_1,1191.747,202.1009,989.6461-1393.8478,1002.567,192.2849,810.2826-1194.8523
pSTS_L_2_2,左侧后颞上沟_2_2,1017.611,172.2955,845.3152-1189.9062,861.8922,164.7411,697.1511-1026.6333
pSTS_R_2_2,右侧后颞上沟_2_2,895.8149,132.3951,763.4198-1028.21,788.515,143.3063,645.2087-931.8214
SPL_L_5_1,左侧顶上小叶_5_1,1060.668,158.0253,902.6423-1218.6929,1006.271,190.0999,816.1709-1196.3706
SPL_R_5_1,右侧顶上小叶_5_1,1549.06,228.4594,1320.6001-1777.519,1447.454,275.3804,1172.0736-1722.8344
SPL_L_5_2,左侧顶上小叶_5_2,1307.983,190.868,1117.1152-1498.8513,1213.657,233.6637,979.9934-1447.3208
SPL_R_5_2,右侧顶上小叶_5_2,1359.677,200.8741,1158.8026-1560.5507,1265.532,226.9074,1038.625-1492.4397
SPL_L_5_3,左侧顶上小叶_5_3,1086.307,168.891,917.4165-1255.1985,981.3585,189.6759,791.6826-1171.0344
SPL_R_5_3,右侧顶上小叶_5_3,926.1011,145.9121,780.1891-1072.0132,844.7412,145.3678,699.3734-990.109
SPL_L_5_4,左侧顶上小叶_5_4,1164.405,173.6014,990.804-1338.0068,1111.498,201.3077,910.1906-1312.8059
SPL_R_5_4,右侧顶上小叶_5_4,1139.917,179.6919,960.2252-1319.609,1062.066,209.3747,852.6913-1271.4406
SPL_L_5_5,左侧顶上小叶_5_5,911.5407,151.5464,759.9943-1063.087,833.6346,169.6675,663.9671-1003.3022
SPL_R_5_5,右侧顶上小叶_5_5,1179.928,214.2808,965.6471-1394.2086,1073.139,223.0856,850.0536-1296.2247
IPL_L_6_1,左侧顶下小叶_6_1,3468.83,473.7661,2995.0637-3942.5959,3125.119,552.1982,2572.9207-3677.3171
IPL_R_6_1,右侧顶下小叶_6_1,3910.128,533.7527,3376.3757-4443.8809,3501.548,569.4977,2932.0498-4071.0454
IPL_L_6_2,左侧顶下小叶_6_2,2258.059,328.8263,1929.2325-2586.8853,2051.529,374.1967,1677.3325-2425.7261
IPL_R_6_2,右侧顶下小叶_6_2,2793.279,356.1064,2437.1726-3149.3855,2552.392,415.623,2136.7688-2968.0149
IPL_L_6_3,左侧顶下小叶_6_3,2702.111,355.5139,2346.5969-3057.6248,2399.273,342.6755,2056.5977-2741.9487
IPL_R_6_3,右侧顶下小叶_6_3,3024.989,386.503,2638.4863-3411.4922,2724.219,428.6931,2295.5254-3152.9116
IPL_L_6_4,左侧顶下小叶_6_4,3300.513,421.7003,2878.8127-3722.2131,2935,430.9341,2504.0659-3365.9341
IPL_R_6_4,右侧顶下小叶_6_4,3688.221,493.7196,3194.5012-4181.9404,3318.948,540.6512,2778.2969-3859.5996
IPL_L_6_5,左侧顶下小叶_6_5,4723.167,611.112,4112.0552-5334.2788,4162.574,677.0443,3485.53-4839.6187
IPL_R_6_5,右侧顶下小叶_6_5,4184.812,513.488,3671.324-4698.2998,3702.826,598.7128,3104.1133-4301.5391
IPL_L_6_6,左侧顶下小叶_6_6,3393.831,515.4722,2878.3591-3909.3035,3047.265,467.9711,2579.2935-3515.2358
IPL_R_6_6,右侧顶下小叶_6_6,4042.576,584.7162,3457.8594-4627.292,3678.848,562.5511,3116.2974-4241.3994
PCun_L_4_1,左侧楔前叶_4_1,1606.97,265.7223,1341.2473-1872.6919,1463.158,310.8193,1152.3386-1773.9773
PCun_R_4_1,右侧楔前叶_4_1,1470.054,235.8476,1234.2067-1705.902,1353.378,270.5028,1082.8755-1623.8811
PCun_L_4_2,左侧楔前叶_4_2,1685.017,247.693,1437.3241-1932.7101,1562.631,284.3279,1278.3035-1846.9592
PCun_R_4_2,右侧楔前叶_4_2,1943.976,271.7048,1672.2715-2215.6809,1800.494,315.4338,1485.0599-2115.9275
PCun_L_4_3,左侧楔前叶_4_3,2969.15,442.8886,2526.2617-3412.0391,2677.817,481.507,2196.3101-3159.3242
PCun_R_4_3,右侧楔前叶_4_3,3486.074,547.0961,2938.9783-4033.1707,3132.684,546.3597,2586.3242-3679.0435
PCun_L_4_4,左侧楔前叶_4_4,2822.412,424.9029,2397.5093-3247.3149,2490.44,489.3863,2001.0537-2979.8262
PCun_R_4_4,右侧楔前叶_4_4,3085.645,464.8829,2620.7617-3550.5273,2750.648,538.6039,2212.0444-3289.252
PoG_L_4_1,左侧中央后回_4_1,2188.174,314.7649,1873.4092-2502.939,2029.987,338.8087,1691.1779-2368.7952
PoG_R_4_1,右侧中央后回_4_1,2269.061,312.9539,1956.1067-2582.0144,2131.276,339.8148,1791.4612-2471.0906
PoG_L_4_2,左侧中央后回_4_2,2113.869,290.7631,1823.1062-2404.6326,1955.938,289.6714,1666.2666-2245.6094
PoG_R_4_2,右侧中央后回_4_2,2017.206,284.9715,1732.2347-2302.1777,1905.108,287.698,1617.4104-2192.8064
PoG_L_4_3,左侧中央后回_4_3,1917.047,286.64,1630.4073-2203.6875,1727.854,286.2547,1441.5995-2014.1088
PoG_R_4_3,右侧中央后回_4_3,2134.319,340.607,1793.7122-2474.926,1947.283,333.5687,1613.7144-2280.8518
PoG_L_4_4,左侧中央后回_4_4,1425.068,232.3196,1192.7482-1657.3873,1356.407,272.7495,1083.658-1629.157
PoG_R_4_4,右侧中央后回_4_4,1111.649,189.8997,921.7498-1301.5491,1080.179,217.2902,862.8889-1297.4692
INS_L_6_1,左侧脑岛_6_1,1113.765,147.6555,966.109-1261.42,1026.112,155.0224,871.0895-1181.1344
INS_R_6_1,右侧脑岛_6_1,965.2871,132.4655,832.8215-1097.7527,868.2618,134.4559,733.8059-1002.7177
INS_L_6_2,左侧脑岛_6_2,928.9363,117.9188,811.0176-1046.8551,849.4727,127.0743,722.3984-976.547
INS_R_6_2,右侧脑岛_6_2,918.8793,109.2968,809.5826-1028.1761,856.9625,123.6397,733.3228-980.6021
INS_L_6_3,左侧脑岛_6_3,993.8702,118.9234,874.9469-1112.7936,924.6774,131.1071,793.5703-1055.7844
INS_R_6_3,右侧脑岛_6_3,975.8282,118.0701,857.7581-1093.8983,896.2487,133.825,762.4237-1030.0737
INS_L_6_4,左侧脑岛_6_4,1063.676,111.0408,952.6348-1174.7163,1008.011,128.3036,879.7076-1136.3147
INS_R_6_4,右侧脑岛_6_4,1179.082,132.8096,1046.2723-1311.8915,1094.903,152.1694,942.7339-1247.0728
INS_L_6_5,左侧脑岛_6_5,1116.617,130.0395,986.5779-1246.657,1040.997,141.1888,899.8079-1182.1855
INS_R_6_5,右侧脑岛_6_5,1058.676,134.9837,923.692-1193.6593,971.3893,135.9579,835.4314-1107.3473
INS_L_6_6,左侧脑岛_6_6,1404.271,173.1342,1231.1365-1577.405,1297.21,187.2472,1109.9626-1484.457
INS_R_6_6,右侧脑岛_6_6,1211.377,157.7697,1053.6069-1369.1462,1109.778,171.1677,938.6104-1280.9458
CG_L_7_1,左侧扣带回_7_1,1662.636,232.2618,1430.3744-1894.8981,1467.427,247.9108,1219.5164-1715.3379
CG_R_7_1,右侧扣带回_7_1,1465.821,203.0274,1262.7937-1668.8486,1309.887,227.9359,1081.9513-1537.8231
CG_L_7_2,左侧扣带回_7_2,616.2302,94.56297,521.6672-710.7932,592.1837,99.78586,492.3978-691.9695
CG_R_7_2,右侧扣带回_7_2,925.8015,150.2482,775.5533-1076.0496,900.4982,176.027,724.4713-1076.5253
CG_L_7_3,左侧扣带回_7_3,1601.658,227.2159,1374.4419-1828.8738,1486.261,223.7799,1262.4807-1710.0405
CG_R_7_3,右侧扣带回_7_3,1294.208,197.0185,1097.1893-1491.2262,1218.848,205.5211,1013.3271-1424.3694
CG_L_7_4,左侧扣带回_7_4,1232.555,170.7025,1061.8527-1403.2577,1130.655,179.2974,951.3572-1309.9519
CG_R_7_4,右侧扣带回_7_4,1112.687,151.3507,961.3364-1264.0378,1035.13,169.0473,866.0829-1204.1775
CG_L_7_5,左侧扣带回_7_5,1153.615,169.425,984.1901-1323.0402,1079.305,172.3811,906.9241-1251.6863
CG_R_7_5,右侧扣带回_7_5,942.7418,136.063,806.6787-1078.8048,887.0804,148.1189,738.9615-1035.1993
CG_L_7_6,左侧扣带回_7_6,1908.629,225.8799,1682.7488-2134.5085,1721.697,238.5625,1483.1343-1960.2593
CG_R_7_6,右侧扣带回_7_6,1830.621,211.5538,1619.0673-2042.1749,1669.282,211.8181,1457.4635-1881.0997
CG_L_7_7,左侧扣带回_7_7,2188.56,337.5566,1851.0032-2526.1165,1996.056,339.5244,1656.5319-2335.5806
CG_R_7_7,右侧扣带回_7_7,1491.665,229.0477,1262.6169-1720.7124,1426.168,247.3246,1178.8433-1673.4924
MVOcC_L_5_1,左侧腹侧内侧枕叶皮层_5_1,1669.485,263.7402,1405.7452-1933.2257,1577.494,302.1956,1275.2986-1879.6899
MVOcC_R_5_1,右侧腹侧内侧枕叶皮层_5_1,2106.109,324.2248,1781.884-2430.3337,1964.344,353.3852,1610.959-2317.7292
MVOcC_L_5_2,左侧腹侧内侧枕叶皮层_5_2,2531.319,383.8467,2147.4722-2915.1655,2348.205,451.7193,1896.4856-2799.9241
MVOcC_R_5_2,右侧腹侧内侧枕叶皮层_5_2,2596.102,383.171,2212.9312-2979.2729,2398.166,424.3592,1973.8064-2822.5247
MVOcC_L_5_3,左侧腹侧内侧枕叶皮层_5_3,1916.092,316.3474,1599.7441-2232.439,1834.125,365.7182,1468.4072-2199.8438
MVOcC_R_5_3,右侧腹侧内侧枕叶皮层_5_3,1847.356,281.1212,1566.2354-2128.4775,1723.658,311.2234,1412.4346-2034.8816
MVOcC_L_5_4,左侧腹侧内侧枕叶皮层_5_4,2747.556,328.5344,2419.0212-3076.0901,2576.697,376.9609,2199.7356-2953.6575
MVOcC_R_5_4,右侧腹侧内侧枕叶皮层_5_4,3302.281,400.5368,2901.7437-3702.8174,3029.519,444.7791,2584.7397-3474.2979
MVOcC_L_5_5,左侧腹侧内侧枕叶皮层_5_5,2799.837,443.2967,2356.5408-3243.134,2529.847,470.7275,2059.1191-3000.5742
MVOcC_R_5_5,右侧腹侧内侧枕叶皮层_5_5,2844.994,461.0172,2383.9771-3306.0117,2598.269,489.9532,2108.3162-3088.2224
LOcC_L_4_1,左侧外侧枕叶皮层_4_1,2324.247,317.5498,2006.6968-2641.7964,2099.131,373.1935,1725.9379-2472.3247
LOcC_R_4_1,右侧外侧枕叶皮层_4_1,2670.997,364.2179,2306.7788-3035.2144,2389.57,429.9609,1959.6086-2819.5305
LOcC_L_4_2,左侧外侧枕叶皮层_4_2,2397.226,346.0047,2051.2212-2743.2305,2089.492,368.4841,1721.0076-2457.9758
LOcC_R_4_2,右侧外侧枕叶皮层_4_2,2689.046,413.3623,2275.6841-3102.4087,2381.286,412.6186,1968.6677-2793.905
LOcC_L_4_3,左侧外侧枕叶皮层_4_3,2946.461,457.5917,2488.8694-3404.053,2763.536,515.5817,2247.9539-3279.1174
